id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_ayam,tahun,daging_babi,daging_domba,daging_kelinci,daging_sapi,kubis
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50141,2022,0,370,21,2109174,
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,28699,2022,0,334,24,6394882,
248,32,JAWA BARAT,3205,KABUPATEN GARUT,7401,2022,0,335,0,628935,
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,36011,2022,0,391,22,2730192,
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,126190,2022,0,208,7,1996566,
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26893,2022,0,1437,7,2404489,
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,22531,2022,0,2134,3,3663382,
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22028,2022,0,2579,0,2374055,
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18036,2022,0,429,2,2508971,
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,36672,2022,0,283,3,1801130,
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,62486,2022,0,1118,0,1370797,
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,63495,2022,0,14111,0,1310650,
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,83310,2022,15,399,1,1909729,
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,13375,2022,0,559,0,2463236,
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13417,2022,0,1849,98,5512670,
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2306,2022,0,63,1,1127199,
262,32,JAWA BARAT,3271,KOTA BOGOR,1320,2022,0,393,1,2696665,
263,32,JAWA BARAT,3272,KOTA SUKABUMI,15444,2022,0,253,0,1144628,
264,32,JAWA BARAT,3273,KOTA BANDUNG,666,2022,552,306,0,5867500,
265,32,JAWA BARAT,3274,KOTA CIREBON,8,2022,71,186,0,453300,
266,32,JAWA BARAT,3275,KOTA BEKASI,2285,2022,4,3031,0,2344777,
267,32,JAWA BARAT,3276,KOTA DEPOK,2679,2022,0,126,0,7150916,
268,32,JAWA BARAT,3277,KOTA CIMAHI,247,2022,0,169,0,416998,
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7711,2022,0,8,0,2039572,
270,32,JAWA BARAT,3279,KOTA BANJAR,4009,2022,0,15,1,679806,
